Date,sample ID,subset,blade ID,length (cm),width (cm),AV sml_l (cm),AV sml_w (cm),AV lrg_l (cm),AV lrg_w (cm),AV all_l (cm),AV all_w (cm),SD sml_l (cm),SD sml_w (cm),SD lrg_l (cm),SD lrg_w (cm),SD all_l (cm),SD all_w (cm),# sml blades,# lrg blades,# all blades
25/03/25,1-NE-3,,,,,15.8,3.1,45.7,4.2,34.5,3.8,1.1,0.2,3.0,0.3,3.1,0.2,15,25,40
25/03/25,1-NE-3,small,1,16.25,1.61,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,2,16.86,2.91,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,3,20.37,3.71,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,4,19.67,3.41,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,5,18.16,2.31,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,6,18.16,3.01,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,7,17.76,3.41,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,8,14.55,2.51,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,9,17.86,3.61,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,10,15.65,3.41,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,11,9.33,3.41,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,12,9.03,3.01,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,13,15.35,4.92,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,14,21.07,3.31,,,,,,,,,,,,,,,
25/03/25,1-NE-3,small,15,6.22,2.11,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,1,58.49,5.52,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,2,40.64,5.42,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,3,35.32,3.11,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,4,58.19,8.83,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,5,34.01,3.31,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,6,72.44,6.62,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,7,26.99,4.21,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,8,53.48,1.3,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,9,37.32,3.11,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,10,36.52,3.81,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,11,39.23,3.91,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,12,82.88,3.61,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,13,20.87,4.52,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,14,34.62,3.31,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,15,42.94,4.21,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,16,53.28,5.12,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,17,41.34,4.31,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,18,51.21,2.71,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,19,46.19,6.61,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,20,36.12,4.22,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,21,34.92,3.12,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,22,31.05,3.12,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,23,53.28,3.41,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,24,56.19,2.81,,,,,,,,,,,,,,,
25/03/25,1-NE-3,large,25,64.28,5.71,,,,,,,,,,,,,,,
25/03/25,1-SW-1,,,,,6.4,2.3,50.8,5.0,32.5,3.9,2.7,0.3,21.9,1.6,27.9,1.8,7,10,17
25/03/25,1-SW-1,small,1,4.10,2.34,,,,,,,,,,,,,,,
25/03/25,1-SW-1,small,2,4.50,2.65,,,,,,,,,,,,,,,
25/03/25,1-SW-1,small,3,4.21,2.30,,,,,,,,,,,,,,,
25/03/25,1-SW-1,small,4,5.12,2.50,,,,,,,,,,,,,,,
25/03/25,1-SW-1,small,5,11.20,1.97,,,,,,,,,,,,,,,
25/03/25,1-SW-1,small,6,7.21,1.99,,,,,,,,,,,,,,,
25/03/25,1-SW-1,small,7,8.63,2.67,,,,,,,,,,,,,,,
25/03/25,1-SW-1,large,1,55.54,4.69,,,,,,,,,,,,,,,
25/03/25,1-SW-1,large,2,59.18,4.68,,,,,,,,,,,,,,,
25/03/25,1-SW-1,large,3,34.28,5.21,,,,,,,,,,,,,,,
25/03/25,1-SW-1,large,4,41.48,3.54,,,,,,,,,,,,,,,
25/03/25,1-SW-1,large,5,20.85,2.78,,,,,,,,,,,,,,,
25/03/25,1-SW-1,large,6,74.59,4.59,,,,,,,,,,,,,,,
25/03/25,1-SW-1,large,7,94.18,8.44,,,,,,,,,,,,,,,
25/03/25,1-SW-1,large,8,48.87,6.01,,,,,,,,,,,,,,,
25/03/25,1-SW-1,large,9,27.89,3.95,,,,,,,,,,,,,,,
25/03/25,1-SW-1,large,10,51.06,6.29,,,,,,,,,,,,,,,
25/03/25,1-SW-3,,,,,16.1,3.2,39.0,5.0,31.4,4.4,4.2,1.0,13.3,1.9,15.6,1.8,11,21,33
25/03/25,1-SW-3,small,1,23.70,3.78,,,,,,,,,,,,,,,
25/03/25,1-SW-3,small,2,20.36,5.05,,,,,,,,,,,,,,,
25/03/25,1-SW-3,small,3,19.22,4.67,,,,,,,,,,,,,,,
25/03/25,1-SW-3,small,4,16.15,2.00,,,,,,,,,,,,,,,
